clump_id,area_pix,area_arcsec2,r_eff_arcsec,x0,y0,area_kpc2,r_eff_kpc,inside,component
29,105,0.041999999999999156,0.115624457705621,226.98095238095237,301.4095238095238,0.8410041172421793,0.5173972601777647,False,outside
30,66,0.02639999999999947,0.0916699568847499,66.54545454545455,334.54545454545456,0.5286311594093698,0.4102054658153665,False,outside
31,167,0.06679999999999865,0.14581872443920496,68.89221556886227,496.67664670658684,1.3375970245661326,0.6525108096035059,False,outside
32,99,0.039599999999999205,0.11227230955528553,171.23232323232324,333.4949494949495,0.7929467391140548,0.5023970404741679,False,outside
33,80,0.031999999999999355,0.10092530088080538,171.625,392.525,0.640765041708327,0.4516213541194985,False,outside
34,213,0.08519999999999828,0.16468151779376586,265.38497652582157,118.36619718309859,1.7060369235484205,0.7369181901405625,True,disk
35,19,0.0075999999999998465,0.04918490759365885,269.5263157894737,134.1578947368421,0.15218169740572765,0.2200930230163447,True,disk
36,37,0.014799999999999702,0.06863662517577629,375.97297297297297,194.64864864864865,0.2963538317901013,0.3071357264585763,False,outside
37,18,0.007199999999999855,0.04787307364817144,185.66666666666666,204.38888888888889,0.14417213438437357,0.21422281784806244,False,outside
38,100,0.039999999999999196,0.11283791670955012,428.04,211.93,0.8009563021354088,0.5049280239508517,False,outside
39,87,0.0347999999999993,0.10524820207108382,273.64367816091954,159.32183908045977,0.6968319828578056,0.47096550739167015,True,disk
41,108,0.04319999999999913,0.11726460285669961,468.4537037037037,10.814814814814815,0.8650328063062415,0.5247365949889381,False,outside
42,56,0.02239999999999955,0.08444016491289419,458.44642857142856,135.625,0.4485355291958289,0.3778535341209747,False,outside
44,61,0.02439999999999951,0.0881292302410746,243.80327868852459,239.86885245901638,0.48858334430259936,0.3943613935418327,False,outside
45,26,0.010399999999999791,0.05753627391751535,190.23076923076923,346.5,0.2082486385552063,0.25746378470852377,False,outside
46,19,0.0075999999999998465,0.04918490759365885,225.3684210526316,265.5263157894737,0.15218169740572765,0.2200930230163447,False,outside
47,14,0.005599999999999887,0.042220082456447094,261.5,299.5,0.11213388229895722,0.18892676706048736,False,outside
49,45,0.017999999999999638,0.07569397566060404,9.755555555555556,394.24444444444447,0.36043033596093393,0.3387160155896239,False,outside
50,17,0.0067999999999998634,0.046524264916812316,492.94117647058823,231.64705882352942,0.1361625713630195,0.20818715760837656,False,outside
51,19,0.0075999999999998465,0.04918490759365885,318.63157894736844,79.47368421052632,0.15218169740572765,0.2200930230163447,True,disk
52,141,0.05639999999999886,0.133987602339789,134.29078014184398,346.86524822695037,1.1293483860109264,0.5995688085724488,False,outside
53,51,0.02039999999999959,0.08058239062071315,150.4313725490196,350.1372549019608,0.4084877140890585,0.3605907344610577,False,outside
55,43,0.017199999999999653,0.07399277020331844,134.95348837209303,52.0,0.34441120991822577,0.3311034476254998,False,outside
56,22,0.008799999999999822,0.05292567428401174,454.45454545454544,71.81818181818181,0.17621038646978993,0.23683223611155765,False,outside
